student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft,family_siblings,family_income_father,family_income_mother,laptop_brand,laptop_year,phone_brand,phone_year,addr_city,addr_district,addr_postal
15,,21,Male,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,110,pending,37.0,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,,,,,,,,,,,,Tashkent,,
16,Adrian Allen,20,Female,,,Antoniobury,,1999-08-29 00:00:00,Python,110,pending,37.0,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",4.0,4.0,4.0,"onto, owner",3.0,798.0,626.0,Dell,2019.0,Apple,2022.0,,,
17,Stephen Lyons,19,Unknown,76.0,,New Adam,,2009-10-13 02:20:00,Data Science,110,active,,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"nothing, community",1.0,1.0,5.0,"wear, will",1.0,772.0,498.0,Lenovo,2023.0,Apple,2021.0,,,
18,Zachary Lyons,18,Male,68.0,+12425525722,Chenport,,2003-09-25 00:00:00,Data Science,110,inactive,,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,,,,,,,,,Tashkent,Port Kevin district,100106
19,,20,Female,50.0,+11790996883,West Danaville,,1974-02-20 00:00:00,Data Science,110,active,3.05,excellent,6600.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
20,Anthony Hardy,20,Male,,+16692728730,Kimport,,1973-05-20 19:05:00,Data Science,65,pending,,excellent,218.0,,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",5.0,2.0,4.0,"medical, quality",4.0,1220.0,1220.0,Lenovo,2018.0,Apple,2019.0,Tashkent,,
21,Hector Beltran,20,Male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,110,active,15.5,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
22,Tara Nguyen,22,Unknown,73.0,+10388742999,Brittanychester,,2000-06-04 17:46:54,Python,78,inactive,,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"create, accept",1.0,3.0,1.0,"new, manager",3.0,1140.0,1117.0,Dell,2016.0,Xiaomi,2018.0,,,
24,Latoya Williams,18,Male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,Data Science,110,pending,37.0,excellent,14800.0,,"0258 Sean Keys Apt. 380, Kevinfort","step, section",1.0,5.0,3.0,"beat, popular",0.0,1376.0,871.0,Dell,2022.0,Xiaomi,2019.0,,,
25,,21,Unknown,,,Donnaview,,2025-03-08 00:00:00,Data Science,,pending,15.5,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",1.0,3.0,2.0,"must, around",0.0,1453.0,206.0,Lenovo,2019.0,Xiaomi,2020.0,,,
26,,21,Female,,,Harrisbury,,,Data Science,96,pending,15.5,good,29900.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",3.0,1.0,2.0,"south, his",1.0,623.0,577.0,Dell,2022.0,Apple,2019.0,Tashkent,Lake Crystal district,100119
27,Emily Cummings,22,Female,59.0,,East Dariuston,,,Python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",3.0,1.0,3.0,"thought, particularly",4.0,303.0,1245.0,Lenovo,2023.0,Samsung,2023.0,Tashkent,South David district,100696
28,Brandy Powell,,Unknown,87.0,+14042330292,Oconnellburgh,,2000-07-27 00:00:00,Python,107,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","energy, however",2.0,1.0,3.0,"either, plan",4.0,1105.0,1106.0,Lenovo,2023.0,Samsung,2022.0,,,
29,,21,Male,88.0,+15211681029,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data Science,,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,,,,,,,,,,,
30,Jaime Rowe,,Female,69.0,+10468929598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64,pending,37.0,average,294.0,,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",4.0,5.0,3.0,"reduce, than",4.0,1291.0,913.0,Lenovo,2024.0,Xiaomi,2019.0,Tashkent,,
32,April Johnson,20,Male,,+10548293587,Andersontown,,,Python,110,active,-2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",5.0,3.0,3.0,"against, history",4.0,1124.0,1323.0,Dell,2023.0,Apple,2018.0,Tashkent,Christineburgh district,100686
33,Joyce Franklin,20,Female,60.0,+16180905816,South Brittany,,2000-06-29 21:16:26,Data Science,66,inactive,15.5,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","run, case",4.0,2.0,3.0,"rock, never",4.0,1009.0,1369.0,Dell,2022.0,Xiaomi,2020.0,Tashkent,,
34,,20,Female,,,Hillmouth,,1983-05-24 00:00:00,Data Science,67,active,37.0,excellent,17200.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"decide, least",5.0,5.0,2.0,"mouth, laugh",4.0,763.0,1393.0,HP,2019.0,Samsung,2020.0,,,
36,,22,Unknown,87.0,+18930217782,North Gerald,,2018-11-11 00:00:00,Python,110,inactive,15.5,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","stay, even",3.0,5.0,3.0,"generation, group",1.0,219.0,1344.0,Dell,2017.0,Apple,2021.0,Tashkent,,
37,Jeremy Fry,18,Female,,+17731802562,New Kent,mccoyandrew@yahoo.com,,Data Science,110,pending,,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606",,,,,,,,,,,,,Tashkent,New Ian district,100606
38,Christopher Sosa,20,Male,,+11386481737,New Aliceland,,2022-08-12 00:00:00,Data Science,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",3.0,2.0,3.0,"write, alone",2.0,1354.0,448.0,Lenovo,2024.0,Samsung,2020.0,Tashkent,Youngton district,100192
40,Sara Page,20,Female,71.0,,West William,edgar27@phillips-martin.info,,Python,110,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",3.0,4.0,4.0,"begin, movement",5.0,270.0,255.0,Lenovo,2020.0,Apple,2021.0,,,
41,,19,Male,,,West Georgefort,,1975-12-17 00:00:00,Data Science,,active,15.5,average,225.0,,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",1.0,4.0,2.0,"trip, toward",5.0,1364.0,1312.0,HP,2017.0,Xiaomi,2019.0,,,
42,Mark Smith,,Male,,,West Morganchester,,1980-12-09 00:00:00,Data Science,81,inactive,-2.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,,,,,,,,,Tashkent,Port Kristopherberg district,100563
43,Amanda Myers,19,Female,,+16981153243,North Christopherborough,,,Data Science,110,pending,-2.0,average,14000.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",5.0,4.0,2.0,"recent, tend",1.0,1134.0,1304.0,Dell,2018.0,Apple,2021.0,,,
44,Eric George,18,Male,93.0,,Nathanborough,,,Python,,inactive,,good,205.0,,UZ 100297 Tashkent North Candace,,,,,,,,,,,,,,,
45,,20,Unknown,83.0,,Duncanfort,,,Data Science,110,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","finish, true",4.0,2.0,2.0,"enter, response",5.0,778.0,355.0,Lenovo,2021.0,Xiaomi,2022.0,Tashkent,,
46,Brandi Jones,20,Male,,,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data Science,92,inactive,15.5,,172.0,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","raise, let",1.0,5.0,2.0,"tell, compare",3.0,209.0,1191.0,Dell,2016.0,Apple,2021.0,,,
47,John Robinson,19,Unknown,51.0,,Port Tracy,wallacerandy@bradshaw.com,,Data Science,,active,15.5,average,16600.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"above, even",3.0,2.0,5.0,"minute, view",4.0,1127.0,1111.0,HP,2020.0,Apple,2022.0,,,
48,Suzanne Meyer,,Male,95.0,,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,110,active,,,144.0,1976-01-20 00:00:00,"6637 Michelle Unions Apt. 959, Erikfort","do, property",3.0,1.0,4.0,"parent, raise",1.0,709.0,1006.0,Dell,2015.0,Apple,2024.0,,,
50,Justin Wong,18,Female,90.0,+10108099177,Travisfort,,1970-02-03 13:13:00,Data Science,110,active,37.0,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",4.0,4.0,3.0,"these, could",3.0,204.0,506.0,Lenovo,2016.0,Samsung,2024.0,Tashkent,East Andrew district,100090
51,James Davis,20,Female,61.0,,New Emilyshire,,2014-02-09 00:00:00,Data Science,,inactive,37.0,average,132.0,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,,,,,,,,,,,,,,,
52,Mitchell Conway,19,Female,63.0,+15709119906,Lake Louis,,1994-06-13 04:13:00,Data Science,,inactive,-2.0,,205.0,,"BROKEN,ADDRESS,DATA,,,","painting, tough",4.0,5.0,2.0,"hour, series",3.0,543.0,1003.0,Dell,2015.0,Apple,2020.0,,,
53,,20,Female,88.0,+17808691118,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,Data Science,110,inactive,37.0,average,251.0,1990-03-31 00:00:00,UZ 100232 Tashkent Annabury,,,,,,,,,,,,,,,
54,Heather Moreno,19,Female,83.0,+14389178289,South Jasmine,,2025-07-25 00:00:00,Data Science,,pending,,excellent,221.0,2024-01-16 00:00:00,"Christown 6-kv, dom 20, Tashkent","leave, effect",3.0,5.0,5.0,"six, reduce",1.0,581.0,302.0,Dell,2020.0,Apple,2020.0,Tashkent,,
55,Todd Moore,21,Male,,+15174942230,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,Data Science,110,inactive,0.0,excellent,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291",,,,,,,,,,,,,Tashkent,West Davidhaven district,100291
56,,21,Female,,,Katelynton,dominguezerin@solis.org,,Python,,inactive,,,298.0,1980-07-14 00:00:00,"Apartment 42, South Charles district, Tashkent, UZ, 100904","where, game",4.0,2.0,1.0,"per, detail",1.0,602.0,1380.0,Lenovo,2019.0,Samsung,2022.0,Tashkent,South Charles district,100904
58,Eric Holmes,18,Male,57.0,+14219273279,West Tricia,,2001-03-13 12:56:00,Data Science,80,pending,15.5,excellent,160.0,2020-05-21 00:00:00,"682 Vasquez Expressway Suite 699, West Nicolechester","recognize, between",5.0,2.0,2.0,"image, leg",5.0,1178.0,1209.0,Lenovo,2021.0,Xiaomi,2020.0,,,
59,Nathan Melendez,20,Female,75.0,+12671082545,Wheelerport,,1971-06-20 00:00:00,Data Science,,active,,average,65.0,1970-09-19 00:00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798",,,,,,,,,,,,,Tashkent,Laurabury district,100798
61,William Moore,,Female,93.0,+15428357188,Port Juanland,,2010-05-07 00:00:00,Data Science,,inactive,3.2,average,5000.0,1983-06-05 05:46:56,"6258 Gordon Road, Smithshire","painting, kid",1.0,4.0,2.0,"fill, growth",5.0,964.0,1178.0,Lenovo,2017.0,Samsung,2024.0,,,
62,Margaret Lopez,20,Male,,+15189848100,East Caitlinfurt,,1980-02-04 04:04:00,Python,106,active,4.07,,18300.0,,"BROKEN,ADDRESS,DATA,,,","others, one",3.0,5.0,2.0,"enjoy, test",5.0,946.0,741.0,HP,2024.0,Samsung,2018.0,,,
64,,19,Female,,,Christopherborough,,2014-12-15 00:00:00,Python,,active,,good,97.0,2011-04-16 00:00:00,"BROKEN,ADDRESS,DATA,,,","stock, management",3.0,5.0,1.0,"move, bar",3.0,786.0,987.0,HP,2020.0,Samsung,2018.0,,,
65,Randall Heath,18,Male,,+13463736033,Deleonside,,,Python,65,pending,,average,105.0,1985-10-02 00:00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","position, stuff",3.0,4.0,1.0,"two, economy",5.0,527.0,408.0,HP,2021.0,Xiaomi,2023.0,Tashkent,Lutzfort district,100220
66,,20,Male,,+11149895033,North Markbury,nrichard@carney.com,2012-03-29 00:00:00,Data Science,99,inactive,,average,27400.0,2016-12-24 09:42:22,"67890 Conrad Walks, East Tannermouth","shake, behind",3.0,4.0,5.0,"what, happy",5.0,1227.0,564.0,Dell,2017.0,Apple,2019.0,,,
67,Ashley Mills,,Female,,,Youngside,,2012-07-27 00:00:00,Data Science,,pending,,excellent,276.0,1991-06-04 04:44:47,"BROKEN,ADDRESS,DATA,,,","share, fly",2.0,5.0,3.0,"floor, question",0.0,1427.0,1378.0,Lenovo,2017.0,Xiaomi,2022.0,,,
68,John Rosario,18,Female,82.0,+17590895599,Belindabury,,1971-07-20 08:45:22,Data Science,,inactive,-2.0,good,190.0,1990-08-02 14:57:53,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059","result, current",3.0,1.0,4.0,"return, address",5.0,1037.0,1043.0,HP,2021.0,Apple,2022.0,Tashkent,North Adammouth district,100059
70,,18,Female,66.0,+19773285987,Lake Josephville,nathaniel54@lloyd.biz,2002-10-31 12:03:00,Data Science,110,pending,,excellent,88.0,2012-06-13 19:49:00,"Port Lisa 17-kv, dom 46, Tashkent","ahead, force",5.0,1.0,1.0,"where, responsibility",5.0,658.0,561.0,Lenovo,2022.0,Apple,2023.0,Tashkent,,
71,Robert Hayes,,Male,,+17804085623,Tabithafurt,teresa05@collins.biz,,Python,63,pending,,excellent,10300.0,1996-09-27 00:00:00,"Benitezmouth 14-kv, dom 38, Tashkent","lead, toward",1.0,2.0,3.0,"through, water",5.0,494.0,1415.0,HP,2018.0,Xiaomi,2019.0,Tashkent,,
72,William Weiss,,Female,78.0,+13361875307,Williamfort,,,Data Science,,active,15.5,,5700.0,1977-11-15 00:00:00,"313 Ayala Point, East Nicholas",,,,,,,,,,,,,,,
75,,22,Female,98.0,+19936950828,East Shelly,lsmith@gmail.com,,Data Science,,active,2.71,average,200.0,2006-03-02 10:39:00,"BROKEN,ADDRESS,DATA,,,","dark, exist",5.0,1.0,4.0,"store, position",0.0,294.0,207.0,Lenovo,2021.0,Samsung,2019.0,,,
77,Alexa Sanders,21,Male,73.0,+13477475643,Lake Randymouth,johnsonchelsea@yahoo.com,1986-12-20 00:00:00,Data Science,,active,0.0,excellent,25600.0,2021-07-18 00:00:00,"034 Cooley Way, East Ian",,,,,,,,,,,,,,,
78,,18,Male,95.0,,Romeroville,,2017-12-25 12:00:00,Python,,active,,good,217.0,1989-02-04 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
82,Karen Baker MD,,Female,60.0,,Kristinabury,paul48@brown.com,1974-09-10 00:00:00,Data Science,110,active,37.0,average,68.0,,UZ 100855 Tashkent Lake Tyler,"garden, possible",1.0,4.0,4.0,"after, similar",4.0,349.0,536.0,Dell,2019.0,Samsung,2022.0,,,
83,,18,Female,,+19768338760,Ayershaven,,1995-04-15 05:21:46,Data Science,102,inactive,15.5,good,172.0,2000-09-03 00:00:00,"Apartment 18, Tarafurt district, Tashkent, UZ, 100739","actually, commercial",1.0,3.0,5.0,"example, defense",1.0,1111.0,456.0,HP,2023.0,Apple,2023.0,Tashkent,Tarafurt district,100739
84,Michael Jenkins,18,Female,68.0,+18644135870,New Brenda,mcolon@gmail.com,2002-11-25 00:00:00,Data Science,110,inactive,-2.0,average,284.0,2008-04-09 00:00:00,"BROKEN,ADDRESS,DATA,,,","collection, single",4.0,4.0,1.0,"expect, fall",5.0,675.0,1465.0,Dell,2020.0,Apple,2019.0,,,
85,,21,Male,75.0,+10925477688,New Nicoleside,,1996-10-08 21:47:00,Data Science,,inactive,-2.0,excellent,9500.0,1994-05-31 00:00:00,"33084 Williams Point, Jesusborough",,,,,,,,,,,,,,,
87,Kyle Doyle,,Female,,,Powersland,,2001-11-27 00:00:00,Data Science,,inactive,,,66.0,2016-05-02 00:00:00,"South Jacobview 25-kv, dom 42, Tashkent","example, break",3.0,4.0,3.0,"PM, structure",4.0,491.0,426.0,Lenovo,2024.0,Xiaomi,2018.0,Tashkent,,
88,Hannah Montes,21,Unknown,,,South Thomas,,2008-07-18 06:10:35,Python,68,active,3.81,,110.0,,UZ 100240 Tashkent Charlesshire,"dream, forward",5.0,5.0,2.0,"like, clear",5.0,626.0,1045.0,Dell,2018.0,Apple,2023.0,,,
89,James Weaver,22,Female,,+14800269976,West Jonathan,,2000-04-09 11:39:29,Python,110,pending,,,149.0,,"Apartment 8, South Christina district, Tashkent, UZ, 100031","anything, catch",1.0,2.0,2.0,"like, how",4.0,503.0,394.0,Dell,2019.0,Apple,2020.0,Tashkent,South Christina district,100031
91,Barry Cooper,,Female,82.0,+16760178005,Georgeshire,,2018-05-23 00:00:00,Python,,active,2.48,excellent,283.0,1997-11-24 00:00:00,"Apartment 15, North Nicholas district, Tashkent, UZ, 100716",,,,,,,,,,,,,Tashkent,North Nicholas district,100716
94,,21,Female,,,West Bryanburgh,,2015-09-14 00:00:00,Data Science,110,pending,3.72,good,51.0,1995-10-29 00:00:00,"3646 Micheal Place, Port Douglas","fly, me",5.0,1.0,3.0,"ago, per",2.0,1215.0,272.0,HP,2022.0,Xiaomi,2020.0,,,
95,,19,Male,82.0,,Leechester,,2012-11-23 00:00:00,Data Science,,pending,4.44,good,144.0,1987-03-21 11:08:51,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
96,Joel Cantrell,18,Female,91.0,+16998687229,Duncanshire,john55@cox-horne.org,1984-10-14 00:00:00,Data Science,110,inactive,15.5,average,295.0,1971-02-21 00:00:00,"902 Wiggins Mill, East Susan","skill, continue",1.0,5.0,4.0,"actually, condition",3.0,1454.0,391.0,HP,2023.0,Apple,2020.0,,,
99,Christopher Williams,22,Male,,+11363137124,Meganfort,,,Data Science,110,active,-2.0,average,265.0,1992-01-07 00:00:00,"BROKEN,ADDRESS,DATA,,,","never, agent",5.0,4.0,3.0,"necessary, billion",2.0,1201.0,1493.0,Lenovo,2024.0,Xiaomi,2024.0,,,
100,,18,Female,91.0,+12117688641,West Jacqueline,,,Data Science,114,pending,37.0,excellent,145.0,,UZ 100196 Tashkent West Dawnport,"Mrs, director",4.0,1.0,2.0,"need, relationship",4.0,281.0,791.0,Dell,2015.0,Xiaomi,2022.0,,,
101,Sharon Rodriguez,18,Male,93.0,,Tammytown,,1990-05-01 02:46:14,Data Science,110,pending,,excellent,169.0,2009-11-18 03:15:00,"4414 Jessica Mountains Apt. 231, Evansfort","watch, movement",4.0,5.0,4.0,"morning, garden",3.0,1483.0,283.0,HP,2018.0,Samsung,2022.0,,,
102,Gary Allison,18,Female,,+10526390071,Michaelmouth,,1985-09-26 10:21:00,Python,110,pending,-2.0,good,26100.0,2007-12-22 20:55:40,"BROKEN,ADDRESS,DATA,,,","always, wife",2.0,3.0,1.0,"several, federal",5.0,744.0,1338.0,Dell,2016.0,Samsung,2020.0,,,
103,Barbara Goodman,,Female,,,West Sergiochester,emilycarson@hotmail.com,,Data Science,,pending,0.0,excellent,189.0,1986-05-30 00:00:00,"BROKEN,ADDRESS,DATA,,,","final, son",5.0,5.0,4.0,"process, include",0.0,1376.0,1070.0,Lenovo,2018.0,Samsung,2019.0,,,
104,Melissa Crane,20,Female,81.0,+14090363015,Colemanland,,1970-12-20 00:00:00,Python,,active,15.5,good,198.0,2004-04-12 23:36:00,UZ 100349 Tashkent New Heather,"none, child",3.0,3.0,4.0,"community, sound",1.0,361.0,403.0,HP,2016.0,Xiaomi,2023.0,,,
105,,19,Female,77.0,,Lake Jerry,davidsavage@yahoo.com,,Python,,inactive,-2.0,average,85.0,,"West Billy 17-kv, dom 10, Tashkent","plan, why",4.0,3.0,4.0,"administration, the",3.0,282.0,598.0,Dell,2022.0,Samsung,2022.0,Tashkent,,
106,Jeanette Harmon,20,Female,81.0,+12956182527,Bowerschester,,,Data Science,82,active,-2.0,excellent,23500.0,,"Apartment 32, Port Kyleburgh district, Tashkent, UZ, 100452",,,,,,,,,,,,,Tashkent,Port Kyleburgh district,100452
107,,20,Female,89.0,,Port Bonniestad,christinaclark@hotmail.com,1982-02-17 00:00:00,Data Science,,inactive,,excellent,192.0,,"New Amber 19-kv, dom 4, Tashkent",,,,,,,,,,,,,Tashkent,,
109,Toni Mcdonald,22,Female,61.0,+13625226895,New Paulton,,1982-01-02 00:00:00,Data Science,120,pending,37.0,excellent,220.0,2018-02-18 00:00:00,UZ 100223 Tashkent Port David,,,,,,,,,,,,,,,
111,Justin Bell,21,Male,70.0,+15027077552,Fullerland,,2011-06-29 05:58:09,Python,,inactive,,good,252.0,2021-07-05 20:20:00,"BROKEN,ADDRESS,DATA,,,","despite, result",3.0,2.0,4.0,"sound, until",1.0,1321.0,825.0,Dell,2024.0,Xiaomi,2018.0,,,
112,,20,Female,81.0,,New Emilytown,,,Data Science,110,pending,3.56,good,200.0,2020-06-15 00:00:00,"BROKEN,ADDRESS,DATA,,,","song, chance",4.0,3.0,3.0,"concern, evidence",5.0,1473.0,226.0,Lenovo,2017.0,Samsung,2022.0,,,
113,Joseph Burton,21,Unknown,,,East Saraville,shannon36@york-vargas.com,1989-02-18 05:14:00,Data Science,103,pending,,good,27000.0,1984-08-15 00:00:00,"Apartment 19, Scotthaven district, Tashkent, UZ, 100170","he, magazine",5.0,4.0,3.0,"resource, late",3.0,945.0,632.0,HP,2022.0,Samsung,2018.0,Tashkent,Scotthaven district,100170
114,,22,Unknown,78.0,+15404929940,Hallton,,1982-01-17 06:40:00,Data Science,102,inactive,3.72,,289.0,2005-07-24 00:00:00,UZ 100075 Tashkent Boothtown,"degree, two",4.0,3.0,1.0,"front, change",2.0,1402.0,1448.0,Dell,2023.0,Xiaomi,2024.0,,,
115,Thomas Meyer,20,Female,76.0,,East Robert,pparker@peters-hall.com,2004-06-19 00:00:00,Python,110,pending,0.0,,148.0,1993-12-03 04:42:51,"Apartment 5, Fosterside district, Tashkent, UZ, 100730",,,,,,,,,,,,,Tashkent,Fosterside district,100730
116,Susan Bowen,20,Female,50.0,+13063198751,Port Traceyton,,,Data Science,110,pending,,excellent,170.0,2018-04-19 07:18:46,"9072 Pratt Summit Suite 990, South Jason","send, parent",4.0,4.0,2.0,"care, fly",3.0,330.0,788.0,HP,2022.0,Xiaomi,2024.0,,,
117,Richard Burton,21,Unknown,,,Catherineview,,1978-06-06 00:00:00,Python,105,inactive,15.5,good,17200.0,2021-07-25 00:00:00,"BROKEN,ADDRESS,DATA,,,","although, at",4.0,2.0,4.0,"simple, fire",1.0,993.0,869.0,Lenovo,2016.0,Apple,2018.0,,,
118,Andrew Taylor,,Unknown,80.0,+18448413465,Marvinmouth,,2010-06-30 00:00:00,Python,110,pending,15.5,,79.0,,"392 Christopher Center, Port Lindseyfort","research, keep",5.0,4.0,3.0,"recently, her",4.0,1157.0,606.0,Lenovo,2021.0,Samsung,2022.0,,,
119,,22,Female,,+16213546546,Port Andrew,sharonbrooks@hotmail.com,1995-01-18 00:00:00,Python,110,active,0.0,excellent,61.0,,"Barryborough 13-kv, dom 6, Tashkent","think, establish",2.0,2.0,2.0,"stop, modern",2.0,335.0,1288.0,Dell,2019.0,Apple,2024.0,Tashkent,,
120,Raymond Stewart,18,Unknown,76.0,,Alexanderhaven,,2015-01-01 19:00:00,Data Science,,active,,good,7300.0,1990-08-02 00:00:00,"BROKEN,ADDRESS,DATA,,,","loss, own",2.0,1.0,5.0,"foot, town",5.0,593.0,527.0,Lenovo,2016.0,Apple,2018.0,,,
